[2021-05-25 23:06:43:1631][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:06:43:1634][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:06:49:7510][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 7.148 seconds (JVM running for 10.132)
[2021-05-25 23:07:25.025:42965][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:07:25.025:42966][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:07:25.025:43611][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.696 seconds (JVM running for 46.233)
[2021-05-25 23:08:22.025:99947][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:08:22.025:99948][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:08:23.025:101088][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 1.198 seconds (JVM running for 103.71)
[2021-05-25 23:08:34.025:112392][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:08:34.025:112392][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:08:34.025:112908][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.558 seconds (JVM running for 115.529)
[2021-05-25 23:08:41.025:119556][http-nio-8999-exec-1] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[30] - reached getBillionaires
[2021-05-25 23:09:24.025:162463][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
